Guarda Redes,99,Diogo Costa,19/09/1999,25,No plantel,Portugal,100%,2027,X,X,,,,Vai sair,2019-07-01
Guarda Redes,14,Cláudio Ramos,16/11/1991,33,No plantel,Portugal,100%,2027,,,,,,,2020-08-14
Guarda Redes,94,Samuel P.,29/03/1994,31,No plantel,Brasil,50%,2027,,,,,,Vai sair,2022-09-01
Guarda Redes,24,João Costa,02/02/1996,29,Comprado,Portugal,100%,2030,X,,,,,,2025-07-09
Lateral Direito,23,João Mário,03/01/2000,25,No plantel,Portugal,100%,2027,X,,,,,,2020-09-01
Lateral Direito,52,Martim,18/01/2006,19,No plantel,Portugal,,2028,X,,,Sub-21,,,2024-04-17
Lateral Esquerdo,12,Zaidu,13/06/1997,28,No plantel,Nigéria,100%,2027,,,,,,Vai sair,2020-08-30
Lateral Esquerdo,74,Francisco Moura,16/08/1999,25,No plantel,Portugal,100%,2029,,,,,,,2024-09-02
Defesa Central,97,Zé Pedro,06/06/1997,28,No plantel,Portugal,80%,2027,,,,,,,2023-12-21
Defesa Central,4,Otávio,21/04/2002,23,No plantel,Brasil,80%,2028,,,,,,Vai sair,2024-01-31
Defesa Central,18,Nehuén Pérez,24/06/2000,25,Comprado,Argentina,90%,2029,,,,,,,2024-08-30
Defesa Central,21,Dominik Prpić,19/05/2004,21,Comprado,Croácia,0%,2030,,,,,,,2025-07-10
Médio Defensivo,6,Eustáquio,21/12/1996,28,No plantel,Canadá,100%,2027,,,,,,,2022-01-24
Médio Defensivo,22,Alan Varela,04/07/2001,24,No plantel,Argentina,,2030,,,,,,,2023-08-16
Médio Defensivo,25,Tomás Pérez,26/08/2005,19,No plantel,Argentina,100%,2029,,,,,,,2025-02-03
Médio Centro,8,Marko Grujic,13/04/1996,29,No plantel,Sérvia,100%,2026,,X,,,,Vai sair,2020-10-06
Médio Centro,15,Vasco Sousa,03/04/2003,22,No plantel,Portugal,60%,2027,X,,,Sub-21,,,2024-07-01
Médio Ofensivo,20,André Franco,12/04/1998,27,No plantel,Portugal,90%,2027,,,,,,Vai sair,2022-08-04
Médio Ofensivo,86,Rodrigo Mora,05/05/2007,18,No plantel,Portugal,100%,2030,X,,,,,,2024-07-01
Médio Ofensivo,17,Gabri Veiga,27/05/2002,23,Comprado,Espanha,90%,2030,,,,,,,2025-06-05
Extremo,11,Pepê,24/02/1997,28,No plantel,Brasil,100%,2027,,,,,,Vai sair,2021-07-01
Extremo,70,G. Borges,29/03/2001,24,No plantel,Portugal,100%,2027,X,,,,,Vai sair,2023-07-01
Extremo,7,William Gomes,15/03/2006,19,No plantel,Brasil,80%,2029,,,,,,,2025-01-31
Extremo,,Borja Sainz,21/02/2001,24,Comprado,Espanha,0%,2030,,,,,,,
Avançado,19,Namaso,28/08/2000,24,No plantel,Inglaterra,100%,2028,,,,,,Vai sair,2022-07-01
Avançado,9,Samu,05/05/2004,21,No plantel,Espanha,65%,2029,,,,,,,2024-08-23
Avançado,27,Deniz Gül,02/07/2004,21,No plantel,Turquia,100%,2029,,,,,,,2024-08-24
Defesa Central,,Fábio Cardoso,19/04/1994,31,Regresso,Portugal,100%,2026,,,,,X,Vai sair,2025-07-01
Médio Centro,,Romário Baró,25/01/2000,25,Regresso,Portugal,100%,2026,X,,,,X,Vai sair,2025-07-01
Médio Ofensivo,,Iván Jaime,26/09/2000,24,Regresso,Espanha,90%,2028,,,,,X,Vai sair,2025-07-01
Extremo,,Gabriel Veron,03/09/2002,22,Emprestado,Brasil,100%,2027,,,,,,Vai sair,
Extremo,,F. Conceição,14/12/2002,22,Regresso,Portugal,80%,2029,X,,,,X,Vai sair,2025-07-01
